ID,이름,태그,이동 가능,경작 가능,낚시 가능,건설 가능,상호작용 가능,바다 낚시 가능
0,Beach animations tiles_0,Ground,0,0,0,0,0,0
1,Beach animations tiles_1,Ground,0,0,0,0,0,0
2,Beach animations tiles_10,Ground,0,0,0,0,0,0
3,Beach animations tiles_100,Ground,0,0,0,0,0,0
4,Beach animations tiles_101,Ground,0,0,0,0,0,0
5,Beach animations tiles_102,Ground,0,0,0,0,0,0
6,Beach animations tiles_103,Ground,0,0,0,0,0,0
7,Beach animations tiles_104,Ground,0,0,0,0,0,0
8,Beach animations tiles_105,Ground,0,0,0,0,0,0
9,Beach animations tiles_106,Ground,0,0,0,0,0,0
10,Beach animations tiles_107,Ground,0,0,0,0,0,0
11,Beach animations tiles_108,Ground,0,0,0,0,0,0
12,Beach animations tiles_109,Ground,0,0,0,0,0,0
13,Beach animations tiles_11,Ground,0,0,0,0,0,0
14,Beach animations tiles_110,Ground,0,0,0,0,0,0
15,Beach animations tiles_111,Ground,0,0,0,0,0,0
16,Beach animations tiles_112,Ground,0,0,0,0,0,0
17,Beach animations tiles_113,Ground,0,0,0,0,0,0
18,Beach animations tiles_114,Ground,0,0,0,0,0,0
19,Beach animations tiles_115,Ground,0,0,0,0,0,0
20,Beach animations tiles_116,Ground,0,0,0,0,0,0
21,Beach animations tiles_117,Ground,0,0,0,0,0,0
22,Beach animations tiles_118,Ground,0,0,0,0,0,0
23,Beach animations tiles_119,Ground,0,0,0,0,0,0
24,Beach animations tiles_12,Ground,0,0,0,0,0,0
25,Beach animations tiles_120,Ground,0,0,0,0,0,0
26,Beach animations tiles_121,Ground,0,0,0,0,0,0
27,Beach animations tiles_122,Ground,0,0,0,0,0,0
28,Beach animations tiles_123,Ground,0,0,0,0,0,0
29,Beach animations tiles_124,Ground,0,0,0,0,0,0
30,Beach animations tiles_125,Ground,0,0,0,0,0,0
31,Beach animations tiles_126,Ground,0,0,0,0,0,0
32,Beach animations tiles_127,Ground,0,0,0,0,0,0
33,Beach animations tiles_128,Ground,0,0,0,0,0,0
34,Beach animations tiles_129,Ground,0,0,0,0,0,0
35,Beach animations tiles_13,Ground,0,0,0,0,0,0
36,Beach animations tiles_130,Ground,0,0,0,0,0,0
37,Beach animations tiles_131,Ground,0,0,0,0,0,0
38,Beach animations tiles_132,Ground,0,0,0,0,0,0
39,Beach animations tiles_133,Ground,0,0,0,0,0,0
40,Beach animations tiles_134,Ground,0,0,0,0,0,0
41,Beach animations tiles_135,Ground,0,0,0,0,0,0
42,Beach animations tiles_136,Ground,0,0,0,0,0,0
43,Beach animations tiles_137,Ground,0,0,0,0,0,0
44,Beach animations tiles_138,Ground,0,0,0,0,0,0
45,Beach animations tiles_139,Ground,0,0,0,0,0,0
46,Beach animations tiles_14,Ground,0,0,0,0,0,0
47,Beach animations tiles_140,Ground,0,0,0,0,0,0
48,Beach animations tiles_141,Ground,0,0,0,0,0,0
49,Beach animations tiles_142,Ground,0,0,0,0,0,0
50,Beach animations tiles_143,Ground,0,0,0,0,0,0
51,Beach animations tiles_144,Ground,0,0,0,0,0,0
52,Beach animations tiles_145,Ground,0,0,0,0,0,0
53,Beach animations tiles_146,Ground,0,0,0,0,0,0
54,Beach animations tiles_147,Ground,0,0,0,0,0,0
55,Beach animations tiles_148,Ground,0,0,0,0,0,0
56,Beach animations tiles_149,Ground,0,0,0,0,0,0
57,Beach animations tiles_15,Ground,0,0,0,0,0,0
58,Beach animations tiles_150,Ground,0,0,0,0,0,0
59,Beach animations tiles_151,Ground,0,0,0,0,0,0
60,Beach animations tiles_152,Ground,0,0,0,0,0,0
61,Beach animations tiles_153,Ground,0,0,0,0,0,0
62,Beach animations tiles_154,Ground,0,0,0,0,0,0
63,Beach animations tiles_155,Ground,0,0,0,0,0,0
64,Beach animations tiles_156,Ground,0,0,0,0,0,0
65,Beach animations tiles_157,Ground,0,0,0,0,0,0
66,Beach animations tiles_158,Ground,0,0,0,0,0,0
67,Beach animations tiles_159,Ground,0,0,0,0,0,0
68,Beach animations tiles_16,Ground,0,0,0,0,0,0
69,Beach animations tiles_160,Ground,0,0,0,0,0,0
70,Beach animations tiles_161,Ground,0,0,0,0,0,0
71,Beach animations tiles_162,Ground,0,0,0,0,0,0
72,Beach animations tiles_163,Ground,0,0,0,0,0,0
73,Beach animations tiles_164,Ground,0,0,0,0,0,0
