ID,이름,태그,이동 가능,경작 가능,낚시 가능,건설 가능,파괴 가능,상호작용 가능,바닥,벽,물,깊은 물,공기
0,Tileset Grass Spring_0,Ground,1,0,0,0,0,0,1,0,0,0,0
1,Tileset Grass Spring_1,Ground,1,1,0,0,0,0,1,0,0,0,0
2,Tileset Grass Spring_10,Ground,1,0,1,0,0,0,1,0,0,0,0
3,Tileset Grass Spring_100,Ground,1,0,0,1,0,0,1,0,0,0,0
4,Tileset Grass Spring_101,Ground,1,0,0,0,1,0,1,0,0,0,0
5,Tileset Grass Spring_102,Ground,1,0,0,0,0,1,1,0,0,0,0
6,Tileset Grass Spring_103,Ground,1,0,0,0,0,0,1,0,0,0,0
7,Tileset Grass Spring_104,Ground,1,0,0,0,0,0,1,0,0,0,0
8,Tileset Grass Spring_105,Ground,1,0,0,0,0,0,1,0,0,0,0
9,Tileset Grass Spring_106,Ground,1,0,0,0,0,0,1,0,0,0,0
10,Tileset Grass Spring_107,Ground,1,0,0,0,0,0,1,0,0,0,0
11,Tileset Grass Spring_108,Ground,1,0,0,0,0,0,1,0,0,0,0
12,Tileset Grass Spring_109,Ground,1,0,0,0,0,0,1,0,0,0,0
13,Tileset Grass Spring_11,Ground,1,0,0,0,0,0,1,0,0,0,0
14,Tileset Grass Spring_110,Ground,1,0,0,0,0,0,1,0,0,0,0
15,Tileset Grass Spring_111,Ground,1,0,0,0,0,0,1,0,0,0,0
16,Tileset Grass Spring_112,Ground,1,0,0,0,0,0,1,0,0,0,0
17,Tileset Grass Spring_113,Ground,1,0,0,0,0,0,1,0,0,0,0
18,Tileset Grass Spring_114,Ground,1,0,0,0,0,0,1,0,0,0,0
19,Tileset Grass Spring_115,Ground,1,0,0,0,0,0,1,0,0,0,0
20,Tileset Grass Spring_116,Ground,1,0,0,0,0,0,1,0,0,0,0
21,Tileset Grass Spring_117,Ground,1,0,0,0,0,0,1,0,0,0,0
22,Tileset Grass Spring_118,Ground,1,0,0,0,0,0,1,0,0,0,0
23,Tileset Grass Spring_119,Ground,1,0,0,0,0,0,1,0,0,0,0
24,Tileset Grass Spring_12,Ground,1,0,0,0,0,0,1,0,0,0,0
25,Tileset Grass Spring_120,Ground,1,0,0,0,0,0,1,0,0,0,0
26,Tileset Grass Spring_121,Ground,1,0,0,0,0,0,1,0,0,0,0
27,Tileset Grass Spring_122,Ground,1,0,0,0,0,0,1,0,0,0,0
28,Tileset Grass Spring_123,Ground,1,0,0,0,0,0,1,0,0,0,0
29,Tileset Grass Spring_124,Ground,1,0,0,0,0,0,1,0,0,0,0
30,Tileset Grass Spring_125,Ground,1,0,0,0,0,0,1,0,0,0,0
31,Tileset Grass Spring_126,Ground,1,0,0,0,0,0,1,0,0,0,0
32,Tileset Grass Spring_127,Ground,1,0,0,0,0,0,1,0,0,0,0
33,Tileset Grass Spring_128,Ground,1,0,0,0,0,0,1,0,0,0,0
34,Tileset Grass Spring_129,Ground,1,0,0,0,0,0,1,0,0,0,0
35,Tileset Grass Spring_13,Ground,1,0,0,0,0,0,1,0,0,0,0
36,Tileset Grass Spring_130,Ground,1,0,0,0,0,0,1,0,0,0,0
37,Tileset Grass Spring_131,Ground,1,0,0,0,0,0,1,0,0,0,0
38,Tileset Grass Spring_132,Ground,1,0,0,0,0,0,1,0,0,0,0
39,Tileset Grass Spring_133,Ground,1,0,0,0,0,0,1,0,0,0,0
40,Tileset Grass Spring_134,Ground,1,0,0,0,0,0,1,0,0,0,0
41,Tileset Grass Spring_135,Ground,1,0,0,0,0,0,1,0,0,0,0
42,Tileset Grass Spring_136,Ground,1,0,0,0,0,0,1,0,0,0,0
43,Tileset Grass Spring_137,Ground,1,0,0,0,0,0,1,0,0,0,0
44,Tileset Grass Spring_138,Ground,1,0,0,0,0,0,1,0,0,0,0
45,Tileset Grass Spring_139,Ground,1,0,0,0,0,0,1,0,0,0,0
46,Tileset Grass Spring_14,Ground,1,0,0,0,0,0,1,0,0,0,0
47,Tileset Grass Spring_140,Ground,1,0,0,0,0,0,1,0,0,0,0
48,Tileset Grass Spring_141,Ground,1,0,0,0,0,0,1,0,0,0,0
49,Tileset Grass Spring_142,Ground,1,0,0,0,0,0,1,0,0,0,0
50,Tileset Grass Spring_143,Ground,1,0,0,0,0,0,1,0,0,0,0
51,Tileset Grass Spring_144,Ground,1,0,0,0,0,0,1,0,0,0,0
52,Tileset Grass Spring_145,Ground,1,0,0,0,0,0,1,0,0,0,0
53,Tileset Grass Spring_146,Ground,1,0,0,0,0,0,1,0,0,0,0
54,Tileset Grass Spring_147,Ground,1,0,0,0,0,0,1,0,0,0,0
55,Tileset Grass Spring_148,Ground,1,0,0,0,0,0,1,0,0,0,0
56,Tileset Grass Spring_149,Ground,1,0,0,0,0,0,1,0,0,0,0
57,Tileset Grass Spring_15,Ground,1,0,0,0,0,0,1,0,0,0,0
58,Tileset Grass Spring_150,Ground,1,0,0,0,0,0,1,0,0,0,0
59,Tileset Grass Spring_151,Ground,1,0,0,0,0,0,1,0,0,0,0
60,Tileset Grass Spring_152,Ground,1,0,0,0,0,0,1,0,0,0,0
61,Tileset Grass Spring_153,Ground,1,0,0,0,0,0,1,0,0,0,0
62,Tileset Grass Spring_154,Ground,1,0,0,0,0,0,1,0,0,0,0
63,Tileset Grass Spring_155,Ground,1,0,0,0,0,0,1,0,0,0,0
64,Tileset Grass Spring_156,Ground,1,0,0,0,0,0,1,0,0,0,0
65,Tileset Grass Spring_157,Ground,1,0,0,0,0,0,1,0,0,0,0
66,Tileset Grass Spring_158,Ground,1,0,0,0,0,0,1,0,0,0,0
67,Tileset Grass Spring_159,Ground,1,0,0,0,0,0,1,0,0,0,0
68,Tileset Grass Spring_16,Ground,1,0,0,0,0,0,1,0,0,0,0
69,Tileset Grass Spring_160,Ground,1,0,0,0,0,0,1,0,0,0,0
70,Tileset Grass Spring_161,Ground,1,0,0,0,0,0,1,0,0,0,0
71,Tileset Grass Spring_162,Ground,1,0,0,0,0,0,1,0,0,0,0
72,Tileset Grass Spring_163,Ground,1,0,0,0,0,0,1,0,0,0,0
73,Tileset Grass Spring_164,Ground,1,0,0,0,0,0,1,0,0,0,0
74,Tileset Grass Spring_165,Ground,1,0,0,0,0,0,1,0,0,0,0
75,Tileset Grass Spring_166,Ground,1,0,0,0,0,0,1,0,0,0,0
76,Tileset Grass Spring_167,Ground,1,0,0,0,0,0,1,0,0,0,0
77,Tileset Grass Spring_168,Ground,1,0,0,0,0,0,1,0,0,0,0
78,Tileset Grass Spring_169,Ground,1,0,0,0,0,0,1,0,0,0,0
79,Tileset Grass Spring_17,Ground,1,0,0,0,0,0,1,0,0,0,0
80,Tileset Grass Spring_170,Ground,1,0,0,0,0,0,1,0,0,0,0
81,Tileset Grass Spring_171,Ground,1,0,0,0,0,0,1,0,0,0,0
82,Tileset Grass Spring_172,Ground,1,0,0,0,0,0,1,0,0,0,0
83,Tileset Grass Spring_173,Ground,1,0,0,0,0,0,1,0,0,0,0
84,Tileset Grass Spring_174,Ground,1,0,0,0,0,0,1,0,0,0,0
85,Tileset Grass Spring_175,Ground,1,0,0,0,0,0,1,0,0,0,0
86,Tileset Grass Spring_176,Ground,1,0,0,0,0,0,1,0,0,0,0
87,Tileset Grass Spring_177,Ground,1,0,0,0,0,0,1,0,0,0,0
88,Tileset Grass Spring_178,Ground,1,0,0,0,0,0,1,0,0,0,0
89,Tileset Grass Spring_179,Ground,1,0,0,0,0,0,1,0,0,0,0
90,Tileset Grass Spring_18,Ground,1,0,0,0,0,0,1,0,0,0,0
91,Tileset Grass Spring_180,Ground,1,0,0,0,0,0,1,0,0,0,0
92,Tileset Grass Spring_181,Ground,1,0,0,0,0,0,1,0,0,0,0
93,Tileset Grass Spring_182,Ground,1,0,0,0,0,0,1,0,0,0,0
94,Tileset Grass Spring_183,Ground,1,0,0,0,0,0,1,0,0,0,0
95,Tileset Grass Spring_184,Ground,1,0,0,0,0,0,1,0,0,0,0
96,Tileset Grass Spring_185,Ground,1,0,0,0,0,0,1,0,0,0,0
97,Tileset Grass Spring_186,Ground,1,0,0,0,0,0,1,0,0,0,0
98,Tileset Grass Spring_187,Ground,1,0,0,0,0,0,1,0,0,0,0
99,Tileset Grass Spring_188,Ground,1,0,0,0,0,0,1,0,0,0,0
100,Tileset Grass Spring_189,Ground,1,0,0,0,0,0,1,0,0,0,0
101,Tileset Grass Spring_19,Ground,1,0,0,0,0,0,1,0,0,0,0
102,Tileset Grass Spring_190,Ground,1,0,0,0,0,0,1,0,0,0,0
103,Tileset Grass Spring_191,Ground,1,0,0,0,0,0,1,0,0,0,0
104,Tileset Grass Spring_192,Ground,1,0,0,0,0,0,1,0,0,0,0
105,Tileset Grass Spring_193,Ground,1,0,0,0,0,0,1,0,0,0,0
106,Tileset Grass Spring_194,Ground,1,0,0,0,0,0,1,0,0,0,0
107,Tileset Grass Spring_195,Ground,1,0,0,0,0,0,1,0,0,0,0
